ΚΩΔΙΚ. ΚΕΝ (*)	ΚΕΝ ΠΕΡΙΓΡΑΦΗ	 ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ	ΜΔΝ (*)
Ε-ΤΚΑ	Εκτός ταξινόμισης σε κατηγορία ασθένειας (Ε)		
Ε01Α	Μεταμόσχευση ήπατος	28.91 €	26
Ε03Α	Μεταμόσχευση  καρδιάς- πνευμόνων	                	35
		50.38 €	
Ε04Α	Μεταμοσχεύσεις Πνευμόνων	30.02 €	20
Ε05Α	Μεταμόσχευση Καρδιάς 	34.28 €	40
Ε06Μ	Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές	39.86 €	47
Ε06Χα	Τραχειοστομία με  μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές	20.60 €	25
Ε06Χβ	Μηχανική υποστήριξη αναπνοής > 95 ώρες  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	15.55 €	16
Ε06Χγ	Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	8.26 €	15
Ε07Α	Αλλογενής μεταμόσχευση μυελού οστών	26.51 €	34
Ε08Μ	Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	10.02 €	24
Ε08Χ	Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	3.68 €	10
Ε09Α	Μεταμόσχευση νεφρού+παγκρέατος 	15.35 €	16
Ε09Β	Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος 	9.67 €	8
Ε09Γ	Μεταμόσχευση παγκρέατος	10.71 €	15
Ε10Α	Εμφύτευση συσκευών κοιλιακής υποβοήθησης	94.01 €	54
Ε11Μ	Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης με  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	10.70 €	15
Ε11Χ	Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης  χωρίς  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	5.30 €	6
Ε12Α	Εμφύτευση συσκευής νευροδιέγερσης	6.41 €	3
Ε13Α	Εξωσωματική συσκευή οξυγόνωσης ECMO 	37.06 €	31
ΤΚΑ 01	Ασθένειες και δυσλειτουργίες του νευρικού συστήματος (Ν)		
Ν01Μ	Επανεπέμβαση κοιλιακής παροχεύτεσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	2.53 €	7
Ν01Χ	Επανεπέμβαση κοιλιακής παροχεύτεσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	1.98 €	5
Ν02Μα	Επεμβάσεις κρανίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	7.73 €	18
Ν02Μβ	Επεμβάσεις κρανίου με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	4.72 €	11
Ν02Χ	Επεμβάσεις κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	3.84 €	7
Ν03Μ	Επεμβάσεις σπονδυλικής στήλης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	5.91 €	15
Ν03Χ	Επεμβάσεις σπονδυλικής στήλης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	3.99 €	5
Ν04Μ	Εξωκράνιες  αγγειοχειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4.27 €	12
Ν04Χ	Εξωκράνιες  αγγειοχειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.47 €	4
Ν05Α	Αποσυμπίεση καρπιαίου σωλήνα	439 €	1
Ν06Μ	"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια με συνυπάρχουσες παθήσεις - επιπλοκές "	3.30 €	13
Ν06Χ	"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές "	969 €	2
Ν07Μ	Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος με συνυπάρχουσες παθήσεις - επιπλοκές	2.51 €	9
Ν07Χ	Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	1.11 €	2
Ν10Α	"Πλασμαφαίρεση με νευρολογική νόσο-συμμετοχή, την ίδια ημέρα"	163 €	1
Ν11Α	Τηλεμετρικός έλεγχος-καταγραφή ηλεκτροεγκεφαλογραφήματος	1.33 €	5
Ν12Μ	Διάγνωση νοσήματαoς νευρικού συστήματος με υποστήριξη αναπνευστήρα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5.39 €	13
Ν12Χ	Διάγνωση νoσήματος  νευρικού συστήματος με υποστήριξη αναπνευστήρα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3.72 €	7
Ν20Μ	Οξεία εμφάνιση παραπληγίας/τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	6.92 €	25
Ν20Χ	Οξεία εμφάνιση παραπληγίας / τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.58 €	10
Ν21Μ	Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	4.96 €	16
Ν21Χ	Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	1.89 €	5
Ν22Α	Αφαίρεση- εξωσωματική θεραπεία αίματος	243 €	1
Ν23Α	Άνοια (ανοικτή συνδρομή)  και άλλες χρόνιες δυσλειτουργίες της εγκεφαλικής λειτουργίας	2.11 €	13
Ν24Μ	Παραλήρημα /Διέγερση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.39 €	13
Ν24Χ	Παραλήρημα /Διέγερση με /χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1.16 €	6
Ν25Α	Εγκεφαλική παράλυση	482 €	2
Ν26Μ	Νεοπλάσματα νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	2.06 €	9
Ν26Χ	Νεοπλάσματα νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	872 €	4
Ν27Μα	Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές 	2.53 €	13
Ν27Μβ	Εκφυλιστικά νοσήματα -διαταραχές νευρικού συστήματος με μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές 	1.31 €	8
Ν27Χ	Εκφυλιστικά νοσήματα (διαταραχές) νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις – επιπλοκές 	482 €	3
Ν28Μ	Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία με συνυπάρχουσες παθήσεις - επιπλοκές	1.91 €	9
Ν68Χ	Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	565 €	2
Ν29Μ	Παροδικό εγκεφαλικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	1.23 €	6
Ν29Χ	Παροδικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	545 €	3
Ν30Α	"Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες, ασθενούς που κατέληξε ή διακοσμήθηκε σε <5ημέρες"	420 €	2
Ν30Μα	Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3.41 €	17
Ν30Μβ	Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1.86 €	9
Ν30Χ	Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1.19 €	6
Ν31Μ	Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων με συνυπάρχουσες παθήσεις - επιπλοκές	1.51 €	7
Ν31Χ	Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	280 €	2
Ν32Μ	Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	3.18 €	14
Ν32Χ	Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	1.18 €	5
Ν33Α	Ιογενής μηνιγγίτιδα	739 €	3
Ν34Χ	Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα με συνυπάρχουσες παθήσεις – επιπλοκές	1.01 €	5
